Reference:,Baratta et al. (2015),,,,,
DOI:,doi:http://dx.doi.org/10.1016/j.pss.2015.08.011,,,,,
Sample Type:,Ice Tholin,,,,,
Composition:,CH4:CO:N2 (1:1:1),,,,,
Temperature:,300K,,,,,
OCdb page:,https://ocdb.smce.nasa.gov/dataset/3,,,,,
n_ Error Units:,Not Applicable,,,,,
k_ Error Units:,Not Applicable,,,,,
,,,,,,
Wavenumber (cm__),n_,Dn_  (+/-),,Wavenumber (cm__),k_,Dk_  (+/-)
41277.1,1.68064,,,41277.1,0.21341,
41285.5,1.68062,,,41285.5,0.21344,
41293.8,1.6806,,,41293.8,0.21346,
41302.2,1.68058,,,41302.2,0.21348,
41310.5,1.68056,,,41310.5,0.21351,
41318.9,1.68054,,,41318.9,0.21353,
41327.2,1.68052,,,41327.2,0.21355,
41335.6,1.6805,,,41335.6,0.21358,
41343.9,1.68048,,,41343.9,0.2136,
41352.3,1.68046,,,41352.3,0.21362,
41360.6,1.68044,,,41360.6,0.21365,
41369,1.68042,,,41369,0.21367,
41377.3,1.6804,,,41377.3,0.21369,
41385.7,1.68038,,,41385.7,0.21372,
41394,1.68036,,,41394,0.21374,
41402.4,1.68034,,,41402.4,0.21376,
41410.7,1.68032,,,41410.7,0.21379,
41419.1,1.6803,,,41419.1,0.21381,
41427.4,1.68028,,,41427.4,0.21383,
41435.8,1.68026,,,41435.8,0.21386,
41444.1,1.68024,,,41444.1,0.21388,
41452.5,1.68022,,,41452.5,0.2139,
41460.8,1.6802,,,41460.8,0.21393,
41469.2,1.68018,,,41469.2,0.21395,
41477.5,1.68016,,,41477.5,0.21397,
41485.9,1.68014,,,41485.9,0.21399,
41494.2,1.68012,,,41494.2,0.21401,
41502.6,1.6801,,,41502.6,0.21403,
41511,1.68008,,,41511,0.21405,
41519.3,1.68007,,,41519.3,0.21407,
41527.7,1.68005,,,41527.7,0.2141,
41536,1.68003,,,41536,0.21412,
41544.4,1.68002,,,41544.4,0.21414,
41552.7,1.68001,,,41552.7,0.21416,
41561.1,1.68001,,,41561.1,0.21419,
41569.4,1.67999,,,41569.4,0.21422,
41577.8,1.67998,,,41577.8,0.21426,
41586.1,1.67996,,,41586.1,0.21429,
41594.5,1.67994,,,41594.5,0.21433,
41602.8,1.67992,,,41602.8,0.21436,
41611.2,1.6799,,,41611.2,0.2144,
41619.5,1.67987,,,41619.5,0.21443,
41627.9,1.67984,,,41627.9,0.21446,
41636.2,1.67981,,,41636.2,0.2145,
41644.6,1.67976,,,41644.6,0.21453,
41652.9,1.67973,,,41652.9,0.21454,
41661.3,1.6797,,,41661.3,0.21456,
41669.6,1.67967,,,41669.6,0.21458,
41678,1.67964,,,41678,0.21459,
41686.3,1.67962,,,41686.3,0.21461,
41694.7,1.67959,,,41694.7,0.21462,
41703,1.67957,,,41703,0.21464,
41711.4,1.67955,,,41711.4,0.21465,
41719.7,1.67953,,,41719.7,0.21466,
41728.1,1.67951,,,41728.1,0.21468,
41736.4,1.6795,,,41736.4,0.2147,
41744.8,1.67948,,,41744.8,0.21472,
41753.1,1.67947,,,41753.1,0.21474,
41761.5,1.67945,,,41761.5,0.21475,
41769.8,1.67943,,,41769.8,0.21477,
41778.2,1.67942,,,41778.2,0.21479,
41786.5,1.6794,,,41786.5,0.21481,
41794.9,1.67939,,,41794.9,0.21483,
41803.2,1.67937,,,41803.2,0.21485,
41811.6,1.67937,,,41811.6,0.21486,
41819.9,1.67937,,,41819.9,0.21489,
41828.3,1.67936,,,41828.3,0.21492,
41836.6,1.67935,,,41836.6,0.21496,
41845,1.67933,,,41845,0.21499,
41853.3,1.67932,,,41853.3,0.21502,
41861.7,1.6793,,,41861.7,0.21506,
41870,1.67928,,,41870,0.21509,
41878.4,1.67926,,,41878.4,0.21513,
41886.7,1.67924,,,41886.7,0.21516,
41895.1,1.67921,,,41895.1,0.2152,
41903.4,1.67918,,,41903.4,0.21523,
41911.8,1.67915,,,41911.8,0.21526,
41920.1,1.67912,,,41920.1,0.21528,
41928.5,1.67909,,,41928.5,0.21531,
41936.8,1.67907,,,41936.8,0.21533,
41945.2,1.67904,,,41945.2,0.21535,
41953.5,1.67902,,,41953.5,0.21538,
41961.9,1.67899,,,41961.9,0.2154,
41970.2,1.67897,,,41970.2,0.21542,
41978.6,1.67894,,,41978.6,0.21544,
41986.9,1.67892,,,41986.9,0.21547,
41995.3,1.6789,,,41995.3,0.21549,
42003.7,1.67887,,,42003.7,0.21551,
42012,1.67885,,,42012,0.21553,
42020.4,1.67882,,,42020.4,0.21556,
42028.7,1.6788,,,42028.7,0.21558,
42037.1,1.67878,,,42037.1,0.2156,
42045.4,1.67875,,,42045.4,0.21562,
42053.8,1.67873,,,42053.8,0.21564,
42062.1,1.6787,,,42062.1,0.21566,
42070.5,1.67868,,,42070.5,0.21568,
42078.8,1.67865,,,42078.8,0.21571,
42087.2,1.67863,,,42087.2,0.21572,
42095.5,1.6786,,,42095.5,0.21574,
42103.9,1.67858,,,42103.9,0.21576,
42112.2,1.67855,,,42112.2,0.21577,
42120.6,1.67853,,,42120.6,0.21579,
42128.9,1.67851,,,42128.9,0.21581,
42137.3,1.67849,,,42137.3,0.21582,
42145.6,1.67847,,,42145.6,0.21584,
42154,1.67845,,,42154,0.21586,
42162.3,1.67843,,,42162.3,0.21587,
42170.7,1.67842,,,42170.7,0.21589,
42179,1.6784,,,42179,0.21591,
42187.4,1.67839,,,42187.4,0.21593,
42195.7,1.67837,,,42195.7,0.21595,
42204.1,1.67835,,,42204.1,0.21598,
42212.4,1.67833,,,42212.4,0.216,
42220.8,1.67831,,,42220.8,0.21602,
42229.1,1.67829,,,42229.1,0.21604,
42237.5,1.67827,,,42237.5,0.21606,
42245.8,1.67825,,,42245.8,0.21609,
42254.2,1.67823,,,42254.2,0.21611,
42262.5,1.67821,,,42262.5,0.21613,
42270.9,1.67819,,,42270.9,0.21615,
42279.2,1.67817,,,42279.2,0.21617,
42287.6,1.67815,,,42287.6,0.21619,
42295.9,1.67813,,,42295.9,0.21621,
42304.3,1.67811,,,42304.3,0.21623,
42312.6,1.67809,,,42312.6,0.21625,
42321,1.67807,,,42321,0.21627,
42329.3,1.67805,,,42329.3,0.21629,
42337.7,1.67803,,,42337.7,0.21631,
42346,1.678,,,42346,0.21633,
42354.4,1.67798,,,42354.4,0.21635,
42362.7,1.67796,,,42362.7,0.21637,
42371.1,1.67794,,,42371.1,0.21638,
42379.4,1.67792,,,42379.4,0.2164,
42387.8,1.6779,,,42387.8,0.21642,
42396.1,1.67788,,,42396.1,0.21644,
42404.5,1.67787,,,42404.5,0.21646,
42412.8,1.67785,,,42412.8,0.21648,
42421.2,1.67783,,,42421.2,0.21649,
42429.5,1.67781,,,42429.5,0.21651,
42437.9,1.67779,,,42437.9,0.21653,
42446.2,1.67777,,,42446.2,0.21655,
42454.6,1.67776,,,42454.6,0.21657,
42462.9,1.67774,,,42462.9,0.21659,
42471.3,1.67772,,,42471.3,0.21661,
42479.6,1.6777,,,42479.6,0.21663,
42488,1.67768,,,42488,0.21664,
42496.3,1.67766,,,42496.3,0.21666,
42504.7,1.67765,,,42504.7,0.21668,
42513.1,1.67763,,,42513.1,0.2167,
42521.4,1.67761,,,42521.4,0.21672,
42529.8,1.67759,,,42529.8,0.21674,
42538.1,1.67757,,,42538.1,0.21676,
42546.5,1.67756,,,42546.5,0.21677,
42554.8,1.67754,,,42554.8,0.21679,
42563.2,1.67752,,,42563.2,0.21681,
42571.5,1.6775,,,42571.5,0.21683,
42579.9,1.67748,,,42579.9,0.21685,
42588.2,1.67747,,,42588.2,0.21687,
42596.6,1.67745,,,42596.6,0.21688,
42604.9,1.67743,,,42604.9,0.2169,
42613.3,1.67742,,,42613.3,0.21692,
42621.6,1.6774,,,42621.6,0.21694,
42630,1.67738,,,42630,0.21696,
42638.3,1.67736,,,42638.3,0.21698,
42646.7,1.67735,,,42646.7,0.21699,
42655,1.67733,,,42655,0.21701,
42663.4,1.67731,,,42663.4,0.21703,
42671.7,1.6773,,,42671.7,0.21705,
42680.1,1.67728,,,42680.1,0.21707,
42688.4,1.67726,,,42688.4,0.21708,
42696.8,1.67725,,,42696.8,0.2171,
42705.1,1.67723,,,42705.1,0.21712,
42713.5,1.67722,,,42713.5,0.21714,
42721.8,1.6772,,,42721.8,0.21716,
42730.2,1.67718,,,42730.2,0.21718,
42738.5,1.67717,,,42738.5,0.2172,
42746.9,1.67715,,,42746.9,0.21721,
42755.2,1.67714,,,42755.2,0.21723,
42763.6,1.67712,,,42763.6,0.21725,
42771.9,1.6771,,,42771.9,0.21727,
42780.3,1.67709,,,42780.3,0.21729,
42788.6,1.67707,,,42788.6,0.21731,
42797,1.67705,,,42797,0.21732,
42805.3,1.67704,,,42805.3,0.21734,
42813.7,1.67702,,,42813.7,0.21736,
42822,1.677,,,42822,0.21738,
42830.4,1.67699,,,42830.4,0.21739,
42838.7,1.67697,,,42838.7,0.21741,
42847.1,1.67696,,,42847.1,0.21743,
42855.4,1.67694,,,42855.4,0.21745,
42863.8,1.67693,,,42863.8,0.21746,
42872.1,1.67691,,,42872.1,0.21748,
42880.5,1.6769,,,42880.5,0.2175,
42888.8,1.67688,,,42888.8,0.21751,
42897.2,1.67687,,,42897.2,0.21753,
42905.5,1.67685,,,42905.5,0.21755,
42913.9,1.67684,,,42913.9,0.21757,
42922.2,1.67682,,,42922.2,0.21759,
42930.6,1.67681,,,42930.6,0.2176,
42938.9,1.67679,,,42938.9,0.21762,
42947.3,1.67678,,,42947.3,0.21764,
42955.6,1.67677,,,42955.6,0.21766,
42964,1.67675,,,42964,0.21768,
42972.3,1.67674,,,42972.3,0.21769,
42980.7,1.67672,,,42980.7,0.21771,
42989,1.67671,,,42989,0.21773,
42997.4,1.67669,,,42997.4,0.21775,
43005.8,1.67668,,,43005.8,0.21776,
43014.1,1.67667,,,43014.1,0.21778,
43022.5,1.67665,,,43022.5,0.2178,
43030.8,1.67664,,,43030.8,0.21782,
43039.2,1.67662,,,43039.2,0.21784,
43047.5,1.67661,,,43047.5,0.21785,
43055.9,1.67659,,,43055.9,0.21787,
43064.2,1.67658,,,43064.2,0.21789,
43072.6,1.67657,,,43072.6,0.2179,
43080.9,1.67655,,,43080.9,0.21792,
43089.3,1.67654,,,43089.3,0.21794,
43097.6,1.67653,,,43097.6,0.21796,
43106,1.67651,,,43106,0.21797,
43114.3,1.6765,,,43114.3,0.21799,
43122.7,1.67649,,,43122.7,0.21801,
43131,1.67647,,,43131,0.21802,
43139.4,1.67646,,,43139.4,0.21804,
43147.7,1.67645,,,43147.7,0.21806,
43156.1,1.67644,,,43156.1,0.21807,
43164.4,1.67642,,,43164.4,0.21809,
43172.8,1.67641,,,43172.8,0.21811,
43181.1,1.6764,,,43181.1,0.21813,
43189.5,1.67638,,,43189.5,0.21814,
43197.8,1.67637,,,43197.8,0.21816,
43206.2,1.67636,,,43206.2,0.21818,
43214.5,1.67635,,,43214.5,0.21819,
43222.9,1.67634,,,43222.9,0.21821,
43231.2,1.67632,,,43231.2,0.21823,
43239.6,1.67631,,,43239.6,0.21824,
43247.9,1.6763,,,43247.9,0.21826,
43256.3,1.67629,,,43256.3,0.21828,
43264.6,1.67628,,,43264.6,0.21829,
43273,1.67627,,,43273,0.21831,
43281.3,1.67625,,,43281.3,0.21833,
43289.7,1.67624,,,43289.7,0.21835,
43298,1.67623,,,43298,0.21836,
43306.4,1.67622,,,43306.4,0.21838,
43314.7,1.67621,,,43314.7,0.2184,
43323.1,1.6762,,,43323.1,0.21841,
43331.4,1.67619,,,43331.4,0.21843,
43339.8,1.67617,,,43339.8,0.21845,
43348.1,1.67616,,,43348.1,0.21846,
43356.5,1.67615,,,43356.5,0.21848,
43364.8,1.67614,,,43364.8,0.2185,
43373.2,1.67613,,,43373.2,0.21851,
43381.5,1.67612,,,43381.5,0.21853,
43389.9,1.67611,,,43389.9,0.21855,
43398.2,1.6761,,,43398.2,0.21856,
43406.6,1.67609,,,43406.6,0.21858,
43414.9,1.67608,,,43414.9,0.2186,
43423.3,1.67607,,,43423.3,0.21862,
43431.6,1.67606,,,43431.6,0.21863,
43440,1.67605,,,43440,0.21865,
43448.3,1.67604,,,43448.3,0.21867,
43456.7,1.67603,,,43456.7,0.21869,
43465,1.67602,,,43465,0.21871,
43473.4,1.67601,,,43473.4,0.21872,
43481.7,1.67599,,,43481.7,0.21874,
43490.1,1.67598,,,43490.1,0.21876,
43498.4,1.67597,,,43498.4,0.21877,
43506.8,1.67595,,,43506.8,0.21878,
43515.2,1.67594,,,43515.2,0.21879,
43523.5,1.67593,,,43523.5,0.21881,
43531.9,1.67592,,,43531.9,0.21882,
43540.2,1.67591,,,43540.2,0.21883,
43548.6,1.67591,,,43548.6,0.21884,
43556.9,1.6759,,,43556.9,0.21885,
43565.3,1.67589,,,43565.3,0.21886,
43573.6,1.67589,,,43573.6,0.21887,
43582,1.67589,,,43582,0.21889,
43590.3,1.67589,,,43590.3,0.2189,
43598.7,1.67588,,,43598.7,0.21892,
43607,1.67588,,,43607,0.21894,
43615.4,1.67587,,,43615.4,0.21895,
43623.7,1.67587,,,43623.7,0.21897,
43632.1,1.67586,,,43632.1,0.21899,
43640.4,1.67586,,,43640.4,0.219,
43648.8,1.67585,,,43648.8,0.21902,
43657.1,1.67585,,,43657.1,0.21903,
43665.5,1.67584,,,43665.5,0.21905,
43673.8,1.67584,,,43673.8,0.21906,
43682.2,1.67583,,,43682.2,0.21908,
43690.5,1.67583,,,43690.5,0.21909,
43698.9,1.67582,,,43698.9,0.21911,
43707.2,1.67582,,,43707.2,0.21912,
43715.6,1.67582,,,43715.6,0.21914,
43723.9,1.67581,,,43723.9,0.21915,
43732.3,1.67581,,,43732.3,0.21917,
43740.6,1.67581,,,43740.6,0.21918,
43749,1.67581,,,43749,0.21919,
43757.3,1.67581,,,43757.3,0.21921,
43765.7,1.67582,,,43765.7,0.21922,
43774,1.67582,,,43774,0.21924,
43782.4,1.67582,,,43782.4,0.21926,
43790.7,1.67582,,,43790.7,0.21928,
43799.1,1.67582,,,43799.1,0.21929,
43807.4,1.67582,,,43807.4,0.21931,
43815.8,1.67582,,,43815.8,0.21932,
43824.1,1.67583,,,43824.1,0.21934,
43832.5,1.67583,,,43832.5,0.21936,
43840.8,1.67584,,,43840.8,0.21937,
43849.2,1.67585,,,43849.2,0.2194,
43857.5,1.67586,,,43857.5,0.21942,
43865.9,1.67586,,,43865.9,0.21945,
43874.2,1.67586,,,43874.2,0.21947,
43882.6,1.67587,,,43882.6,0.2195,
43890.9,1.67587,,,43890.9,0.21952,
43899.3,1.67587,,,43899.3,0.21954,
43907.6,1.67588,,,43907.6,0.21957,
43916,1.67588,,,43916,0.21959,
43924.3,1.67589,,,43924.3,0.21962,
43932.7,1.6759,,,43932.7,0.21964,
43941,1.6759,,,43941,0.21968,
43949.4,1.67591,,,43949.4,0.21971,
43957.7,1.67591,,,43957.7,0.21974,
43966.1,1.67591,,,43966.1,0.21977,
43974.4,1.67591,,,43974.4,0.21981,
43982.8,1.67591,,,43982.8,0.21984,
43991.1,1.67591,,,43991.1,0.21987,
43999.5,1.6759,,,43999.5,0.2199,
44007.9,1.6759,,,44007.9,0.21994,
44016.2,1.67589,,,44016.2,0.21997,
44024.6,1.67588,,,44024.6,0.22,
44032.9,1.67587,,,44032.9,0.22003,
44041.3,1.67587,,,44041.3,0.22006,
44049.6,1.67586,,,44049.6,0.22008,
44058,1.67586,,,44058,0.22011,
44066.3,1.67585,,,44066.3,0.22014,
44074.7,1.67584,,,44074.7,0.22017,
44083,1.67584,,,44083,0.22019,
44091.4,1.67583,,,44091.4,0.22022,
44099.7,1.67582,,,44099.7,0.22025,
44108.1,1.67582,,,44108.1,0.22027,
44116.4,1.67581,,,44116.4,0.2203,
44124.8,1.6758,,,44124.8,0.22032,
44133.1,1.6758,,,44133.1,0.22035,
44141.5,1.67579,,,44141.5,0.22037,
44149.8,1.67578,,,44149.8,0.22039,
44158.2,1.67578,,,44158.2,0.22042,
44166.5,1.67577,,,44166.5,0.22044,
44174.9,1.67577,,,44174.9,0.22046,
44183.2,1.67577,,,44183.2,0.22048,
44191.6,1.67576,,,44191.6,0.22051,
44199.9,1.67576,,,44199.9,0.22053,
44208.3,1.67576,,,44208.3,0.22056,
44216.6,1.67576,,,44216.6,0.22058,
44225,1.67575,,,44225,0.22061,
44233.3,1.67575,,,44233.3,0.22063,
44241.7,1.67574,,,44241.7,0.22066,
44250,1.67574,,,44250,0.22068,
44258.4,1.67574,,,44258.4,0.22071,
44266.7,1.67573,,,44266.7,0.22073,
44275.1,1.67573,,,44275.1,0.22076,
44283.4,1.67572,,,44283.4,0.22078,
44291.8,1.67571,,,44291.8,0.2208,
44300.1,1.67571,,,44300.1,0.22082,
44308.5,1.6757,,,44308.5,0.22084,
44316.8,1.6757,,,44316.8,0.22086,
44325.2,1.6757,,,44325.2,0.22088,
44333.5,1.6757,,,44333.5,0.2209,
44341.9,1.6757,,,44341.9,0.22092,
44350.2,1.67571,,,44350.2,0.22093,
44358.6,1.67571,,,44358.6,0.22095,
44366.9,1.67572,,,44366.9,0.22097,
44375.3,1.67574,,,44375.3,0.221,
44383.6,1.67575,,,44383.6,0.22103,
44392,1.67575,,,44392,0.22106,
44400.3,1.67576,,,44400.3,0.22109,
44408.7,1.67577,,,44408.7,0.22112,
44417,1.67577,,,44417,0.22115,
44425.4,1.67578,,,44425.4,0.22118,
44433.7,1.67578,,,44433.7,0.22121,
44442.1,1.67579,,,44442.1,0.22124,
44450.4,1.6758,,,44450.4,0.22127,
44458.8,1.67581,,,44458.8,0.2213,
44467.1,1.67582,,,44467.1,0.22134,
44475.5,1.67582,,,44475.5,0.22138,
44483.8,1.67583,,,44483.8,0.22142,
44492.2,1.67583,,,44492.2,0.22146,
44500.6,1.67583,,,44500.6,0.2215,
44508.9,1.67583,,,44508.9,0.22154,
44517.3,1.67583,,,44517.3,0.22158,
44525.6,1.67582,,,44525.6,0.22162,
44534,1.67582,,,44534,0.22166,
44542.3,1.67581,,,44542.3,0.2217,
44550.7,1.67581,,,44550.7,0.22174,
44559,1.6758,,,44559,0.22178,
44567.4,1.67579,,,44567.4,0.22181,
44575.7,1.67579,,,44575.7,0.22185,
44584.1,1.67578,,,44584.1,0.22188,
44592.4,1.67577,,,44592.4,0.22192,
44600.8,1.67577,,,44600.8,0.22196,
44609.1,1.67576,,,44609.1,0.22199,
44617.5,1.67575,,,44617.5,0.22203,
44625.8,1.67574,,,44625.8,0.22206,
44634.2,1.67573,,,44634.2,0.2221,
44642.5,1.67572,,,44642.5,0.22213,
44650.9,1.67571,,,44650.9,0.22216,
44659.2,1.6757,,,44659.2,0.2222,
44667.6,1.67569,,,44667.6,0.22223,
44675.9,1.67569,,,44675.9,0.22226,
44684.3,1.67568,,,44684.3,0.22229,
44692.6,1.67567,,,44692.6,0.22232,
44701,1.67566,,,44701,0.22235,
44709.3,1.67565,,,44709.3,0.22239,
44717.7,1.67565,,,44717.7,0.22242,
44726,1.67564,,,44726,0.22245,
44734.4,1.67563,,,44734.4,0.22248,
44742.7,1.67562,,,44742.7,0.22251,
44751.1,1.67562,,,44751.1,0.22255,
44759.4,1.67561,,,44759.4,0.22258,
44767.8,1.6756,,,44767.8,0.22261,
44776.1,1.67559,,,44776.1,0.22265,
44784.5,1.67558,,,44784.5,0.22268,
44792.8,1.67557,,,44792.8,0.22271,
44801.2,1.67555,,,44801.2,0.22275,
44809.5,1.67554,,,44809.5,0.22278,
44817.9,1.67552,,,44817.9,0.2228,
44826.2,1.67551,,,44826.2,0.22283,
44834.6,1.67549,,,44834.6,0.22285,
44842.9,1.67548,,,44842.9,0.22287,
44851.3,1.67548,,,44851.3,0.2229,
44859.6,1.67547,,,44859.6,0.22292,
44868,1.67546,,,44868,0.22294,
44876.3,1.67545,,,44876.3,0.22297,
44884.7,1.67545,,,44884.7,0.22299,
44893,1.67545,,,44893,0.22301,
44901.4,1.67544,,,44901.4,0.22304,
44909.7,1.67544,,,44909.7,0.22306,
44918.1,1.67544,,,44918.1,0.22309,
44926.4,1.67544,,,44926.4,0.22312,
44934.8,1.67543,,,44934.8,0.22315,
44943.1,1.67543,,,44943.1,0.22317,
44951.5,1.67543,,,44951.5,0.2232,
44959.8,1.67542,,,44959.8,0.22323,
44968.2,1.67542,,,44968.2,0.22325,
44976.5,1.67542,,,44976.5,0.22328,
44984.9,1.67542,,,44984.9,0.22331,
44993.2,1.67542,,,44993.2,0.22334,
45001.6,1.67542,,,45001.6,0.22337,
45010,1.67542,,,45010,0.2234,
45018.3,1.67542,,,45018.3,0.22343,
45026.7,1.67542,,,45026.7,0.22345,
45035,1.67542,,,45035,0.22348,
45043.4,1.67542,,,45043.4,0.22351,
45051.7,1.67542,,,45051.7,0.22354,
45060.1,1.67542,,,45060.1,0.22357,
45068.4,1.67542,,,45068.4,0.2236,
45076.8,1.67543,,,45076.8,0.22363,
45085.1,1.67544,,,45085.1,0.22368,
45093.5,1.67544,,,45093.5,0.22372,
45101.8,1.67544,,,45101.8,0.22376,
45110.2,1.67544,,,45110.2,0.2238,
45118.5,1.67543,,,45118.5,0.22384,
45126.9,1.67543,,,45126.9,0.22388,
45135.2,1.67542,,,45135.2,0.22392,
45143.6,1.67541,,,45143.6,0.22396,
45151.9,1.6754,,,45151.9,0.22401,
45160.3,1.67538,,,45160.3,0.22405,
45168.6,1.67536,,,45168.6,0.22408,
45177,1.67535,,,45177,0.2241,
45185.3,1.67534,,,45185.3,0.22413,
45193.7,1.67533,,,45193.7,0.22416,
45202,1.67532,,,45202,0.22418,
45210.4,1.67531,,,45210.4,0.22421,
45218.7,1.67531,,,45218.7,0.22424,
45227.1,1.6753,,,45227.1,0.22426,
45235.4,1.6753,,,45235.4,0.22429,
45243.8,1.6753,,,45243.8,0.22431,
45252.1,1.67531,,,45252.1,0.22434,
45260.5,1.67531,,,45260.5,0.22438,
45268.8,1.67531,,,45268.8,0.22442,
45277.2,1.67531,,,45277.2,0.22446,
45285.5,1.67531,,,45285.5,0.2245,
45293.9,1.67531,,,45293.9,0.22453,
45302.2,1.6753,,,45302.2,0.22457,
45310.6,1.6753,,,45310.6,0.22461,
45318.9,1.67529,,,45318.9,0.22465,
45327.3,1.67528,,,45327.3,0.22469,
45335.6,1.67527,,,45335.6,0.22473,
45344,1.67526,,,45344,0.22477,
45352.3,1.67525,,,45352.3,0.2248,
45360.7,1.67524,,,45360.7,0.22484,
45369,1.67523,,,45369,0.22487,
45377.4,1.67522,,,45377.4,0.22491,
45385.7,1.67521,,,45385.7,0.22495,
45394.1,1.6752,,,45394.1,0.22498,
45402.4,1.67519,,,45402.4,0.22502,
45410.8,1.67518,,,45410.8,0.22506,
45419.1,1.67516,,,45419.1,0.22509,
45427.5,1.67514,,,45427.5,0.22512,
45435.8,1.67512,,,45435.8,0.22515,
45444.2,1.67511,,,45444.2,0.22518,
45452.5,1.6751,,,45452.5,0.2252,
45460.9,1.67509,,,45460.9,0.22523,
45469.2,1.67508,,,45469.2,0.22526,
45477.6,1.67507,,,45477.6,0.22528,
45485.9,1.67506,,,45485.9,0.22531,
45494.3,1.67505,,,45494.3,0.22534,
45502.7,1.67504,,,45502.7,0.22536,
45511,1.67504,,,45511,0.22539,
45519.4,1.67504,,,45519.4,0.22542,
45527.7,1.67503,,,45527.7,0.22545,
45536.1,1.67503,,,45536.1,0.22548,
45544.4,1.67502,,,45544.4,0.22551,
45552.8,1.67501,,,45552.8,0.22554,
45561.1,1.67501,,,45561.1,0.22557,
45569.5,1.675,,,45569.5,0.2256,
45577.8,1.67499,,,45577.8,0.22563,
45586.2,1.67499,,,45586.2,0.22566,
45594.5,1.67498,,,45594.5,0.22569,
45602.9,1.67497,,,45602.9,0.22572,
45611.2,1.67496,,,45611.2,0.22574,
45619.6,1.67495,,,45619.6,0.22577,
45627.9,1.67495,,,45627.9,0.22579,
45636.3,1.67494,,,45636.3,0.22582,
45644.6,1.67494,,,45644.6,0.22584,
45653,1.67494,,,45653,0.22587,
45661.3,1.67493,,,45661.3,0.22589,
45669.7,1.67493,,,45669.7,0.22592,
45678,1.67494,,,45678,0.22594,
45686.4,1.67494,,,45686.4,0.22596,
45694.7,1.67495,,,45694.7,0.22599,
45703.1,1.67495,,,45703.1,0.22603,
45711.4,1.67496,,,45711.4,0.22606,
45719.8,1.67496,,,45719.8,0.22609,
45728.1,1.67496,,,45728.1,0.22613,
45736.5,1.67496,,,45736.5,0.22616,
45744.8,1.67496,,,45744.8,0.2262,
45753.2,1.67496,,,45753.2,0.22623,
45761.5,1.67496,,,45761.5,0.22627,
45769.9,1.67497,,,45769.9,0.2263,
45778.2,1.67497,,,45778.2,0.22634,
45786.6,1.67497,,,45786.6,0.22637,
45794.9,1.67497,,,45794.9,0.22641,
45803.3,1.67497,,,45803.3,0.22645,
45811.6,1.67497,,,45811.6,0.22649,
45820,1.67497,,,45820,0.22653,
45828.3,1.67497,,,45828.3,0.22657,
45836.7,1.67497,,,45836.7,0.22661,
45845,1.67497,,,45845,0.22665,
45853.4,1.67497,,,45853.4,0.22669,
45861.7,1.67497,,,45861.7,0.22673,
45870.1,1.67497,,,45870.1,0.22678,
45878.4,1.67497,,,45878.4,0.22682,
45886.8,1.67497,,,45886.8,0.22687,
45895.1,1.67496,,,45895.1,0.22692,
45903.5,1.67496,,,45903.5,0.22697,
45911.8,1.67495,,,45911.8,0.22701,
45920.2,1.67494,,,45920.2,0.22706,
45928.5,1.67493,,,45928.5,0.22711,
45936.9,1.67491,,,45936.9,0.22716,
45945.2,1.67489,,,45945.2,0.22721,
45953.6,1.67486,,,45953.6,0.22726,
45961.9,1.67483,,,45961.9,0.22729,
45970.3,1.67481,,,45970.3,0.22732,
45978.6,1.6748,,,45978.6,0.22735,
45987,1.67478,,,45987,0.22738,
45995.3,1.67477,,,45995.3,0.22741,
46003.7,1.67475,,,46003.7,0.22744,
46012.1,1.67474,,,46012.1,0.22747,
46020.4,1.67473,,,46020.4,0.2275,
46028.8,1.67472,,,46028.8,0.22752,
46037.1,1.67471,,,46037.1,0.22755,
46045.5,1.6747,,,46045.5,0.22758,
46053.8,1.6747,,,46053.8,0.22762,
46062.2,1.67469,,,46062.2,0.22765,
46070.5,1.67468,,,46070.5,0.22768,
46078.9,1.67467,,,46078.9,0.22771,
46087.2,1.67466,,,46087.2,0.22774,
46095.6,1.67466,,,46095.6,0.22778,
46103.9,1.67465,,,46103.9,0.22781,
46112.3,1.67464,,,46112.3,0.22784,
46120.6,1.67463,,,46120.6,0.22787,
46129,1.67463,,,46129,0.22791,
46137.3,1.67462,,,46137.3,0.22794,
46145.7,1.67461,,,46145.7,0.22797,
46154,1.6746,,,46154,0.228,
46162.4,1.6746,,,46162.4,0.22803,
46170.7,1.67459,,,46170.7,0.22807,
46179.1,1.67458,,,46179.1,0.2281,
46187.4,1.67458,,,46187.4,0.22813,
46195.8,1.67457,,,46195.8,0.22816,
46204.1,1.67456,,,46204.1,0.2282,
46212.5,1.67456,,,46212.5,0.22823,
46220.8,1.67455,,,46220.8,0.22826,
46229.2,1.67454,,,46229.2,0.22829,
46237.5,1.67454,,,46237.5,0.22832,
46245.9,1.67453,,,46245.9,0.22835,
46254.2,1.67453,,,46254.2,0.22838,
46262.6,1.67452,,,46262.6,0.22841,
46270.9,1.67452,,,46270.9,0.22844,
46279.3,1.67452,,,46279.3,0.22847,
46287.6,1.67452,,,46287.6,0.2285,
46296,1.67452,,,46296,0.22853,
46304.3,1.67452,,,46304.3,0.22856,
46312.7,1.67453,,,46312.7,0.2286,
46321,1.67453,,,46321,0.22864,
46329.4,1.67453,,,46329.4,0.22868,
46337.7,1.67453,,,46337.7,0.22873,
46346.1,1.67453,,,46346.1,0.22877,
