Reference:,Baratta et al. (2015),,,,,
DOI:,doi:http://dx.doi.org/10.1016/j.pss.2015.08.011,,,,,
Sample Type:,Ice Tholin,,,,,
Composition:,CH4:CO:N2 (1:1:1),,,,,
Temperature:,300K,,,,,
OCdb page:,https://ocdb.smce.nasa.gov/dataset/3,,,,,
n_ Error Units:,Not Applicable,,,,,
k_ Error Units:,Not Applicable,,,,,
,,,,,,
Wavenumber (cm__),n_,Dn_  (+/-),,Wavenumber (cm__),k_,Dk_  (+/-)
2003.2,1.59664,,,2003.2,0.04874,
2011.5,1.59812,,,2011.5,0.04836,
2019.8,1.59955,,,2019.8,0.04822,
2028.2,1.60118,,,2028.2,0.04805,
2036.6,1.60276,,,2036.6,0.04771,
2044.9,1.60422,,,2044.9,0.0475,
2053.3,1.6059,,,2053.3,0.04749,
2061.6,1.60796,,,2061.6,0.04734,
2070,1.60971,,,2070,0.04717,
2078.3,1.61183,,,2078.3,0.04749,
2086.7,1.6145,,,2086.7,0.04796,
2095,1.61703,,,2095,0.04864,
2103.4,1.61945,,,2103.4,0.05018,
2111.7,1.62219,,,2111.7,0.05233,
2120.1,1.62518,,,2120.1,0.05437,
2128.4,1.62822,,,2128.4,0.05858,
2136.8,1.62911,,,2136.8,0.06678,
2145.1,1.62362,,,2145.1,0.07148,
2153.5,1.62119,,,2153.5,0.07082,
2161.8,1.62164,,,2161.8,0.07367,
2170.2,1.62021,,,2170.2,0.07809,
2178.5,1.61606,,,2178.5,0.08199,
2186.9,1.61042,,,2186.9,0.0848,
2195.2,1.60354,,,2195.2,0.08591,
2203.6,1.59648,,,2203.6,0.0835,
2211.9,1.59159,,,2211.9,0.07895,
2220.3,1.58832,,,2220.3,0.07552,
2228.6,1.58511,,,2228.6,0.07008,
2237,1.5845,,,2237,0.06422,
2245.3,1.58498,,,2245.3,0.06043,
2253.7,1.58515,,,2253.7,0.05617,
2262,1.58628,,,2262,0.05142,
2270.4,1.58926,,,2270.4,0.04781,
2278.7,1.5925,,,2278.7,0.04567,
2287.1,1.59527,,,2287.1,0.04466,
2295.4,1.59743,,,2295.4,0.0441,
2303.8,1.59921,,,2303.8,0.04376,
2312.1,1.60073,,,2312.1,0.04346,
2320.5,1.60195,,,2320.5,0.04324,
2328.8,1.60307,,,2328.8,0.04294,
2337.2,1.60407,,,2337.2,0.04266,
2345.5,1.60527,,,2345.5,0.04239,
2353.9,1.6062,,,2353.9,0.04212,
2362.2,1.6071,,,2362.2,0.04218,
2370.6,1.608,,,2370.6,0.0421,
2378.9,1.60865,,,2378.9,0.04187,
2387.3,1.60928,,,2387.3,0.04186,
2395.6,1.61016,,,2395.6,0.04179,
2404,1.61078,,,2404,0.04155,
2412.3,1.61123,,,2412.3,0.04155,
2420.7,1.61206,,,2420.7,0.04158,
2429,1.6126,,,2429,0.04127,
2437.4,1.61305,,,2437.4,0.0413,
2445.7,1.61376,,,2445.7,0.04134,
2454.1,1.61434,,,2454.1,0.04111,
2462.4,1.61469,,,2462.4,0.04113,
2470.8,1.61534,,,2470.8,0.04119,
2479.2,1.61594,,,2479.2,0.04101,
2487.5,1.61624,,,2487.5,0.04098,
2495.8,1.61681,,,2495.8,0.04111,
2504.2,1.61745,,,2504.2,0.04095,
2512.6,1.61774,,,2512.6,0.04088,
2520.9,1.61826,,,2520.9,0.04108,
2529.3,1.61887,,,2529.3,0.04099,
2537.6,1.61921,,,2537.6,0.04096,
2545.9,1.61963,,,2545.9,0.04117,
2554.3,1.6202,,,2554.3,0.04113,
2562.7,1.62051,,,2562.7,0.0411,
2571,1.62088,,,2571,0.04129,
2579.4,1.62148,,,2579.4,0.04126,
2587.7,1.62178,,,2587.7,0.04127,
2596.1,1.62216,,,2596.1,0.04143,
2604.4,1.62266,,,2604.4,0.04149,
2612.8,1.62303,,,2612.8,0.04151,
2621.1,1.62339,,,2621.1,0.04168,
2629.5,1.62386,,,2629.5,0.04176,
2637.8,1.62425,,,2637.8,0.04184,
2646.2,1.62462,,,2646.2,0.04201,
2654.5,1.62507,,,2654.5,0.04218,
2662.9,1.62543,,,2662.9,0.0423,
2671.2,1.62582,,,2671.2,0.04251,
2679.6,1.62623,,,2679.6,0.04269,
2687.9,1.62658,,,2687.9,0.04296,
2696.3,1.62696,,,2696.3,0.04316,
2704.6,1.62724,,,2704.6,0.04339,
2713,1.62759,,,2713,0.04371,
2721.3,1.62794,,,2721.3,0.04397,
2729.7,1.62815,,,2729.7,0.04417,
2738,1.62846,,,2738,0.04456,
2746.4,1.62878,,,2746.4,0.04475,
2754.7,1.62889,,,2754.7,0.04498,
2763.1,1.62921,,,2763.1,0.04533,
2771.4,1.62957,,,2771.4,0.04551,
2779.8,1.62973,,,2779.8,0.04574,
2788.1,1.63009,,,2788.1,0.04617,
2796.5,1.6305,,,2796.5,0.04641,
2804.8,1.63063,,,2804.8,0.04674,
2813.2,1.63097,,,2813.2,0.04725,
2821.5,1.63136,,,2821.5,0.04754,
2829.9,1.63158,,,2829.9,0.04787,
2838.2,1.6321,,,2838.2,0.04859,
2846.6,1.63271,,,2846.6,0.04958,
2854.9,1.6318,,,2854.9,0.05045,
2863.3,1.63169,,,2863.3,0.05054,
2871.6,1.63211,,,2871.6,0.05073,
2880,1.63205,,,2880,0.05123,
2888.3,1.63245,,,2888.3,0.05176,
2896.7,1.63293,,,2896.7,0.05234,
2905,1.63313,,,2905,0.0534,
2913.4,1.63338,,,2913.4,0.05502,
2921.7,1.63233,,,2921.7,0.05671,
2930.1,1.63064,,,2930.1,0.05732,
2938.4,1.62948,,,2938.4,0.05725,
2946.8,1.62897,,,2946.8,0.05669,
2955.2,1.62885,,,2955.2,0.05665,
2963.5,1.62865,,,2963.5,0.05706,
2971.8,1.62819,,,2971.8,0.0571,
2980.2,1.62767,,,2980.2,0.05716,
2988.6,1.62739,,,2988.6,0.05695,
2996.9,1.62738,,,2996.9,0.05665,
3005.3,1.62769,,,3005.3,0.05658,
3013.6,1.62798,,,3013.6,0.05685,
3021.9,1.62833,,,3021.9,0.0573,
3030.3,1.62841,,,3030.3,0.05792,
3038.7,1.62838,,,3038.7,0.05866,
3047,1.62819,,,3047,0.05939,
3055.4,1.62779,,,3055.4,0.06011,
3063.7,1.62725,,,3063.7,0.06065,
3072.1,1.62669,,,3072.1,0.06098,
3080.4,1.62622,,,3080.4,0.06128,
3088.8,1.62593,,,3088.8,0.06134,
3097.1,1.62579,,,3097.1,0.0616,
3105.5,1.62578,,,3105.5,0.06186,
3113.8,1.62568,,,3113.8,0.06237,
3122.2,1.62553,,,3122.2,0.0631,
3130.5,1.62541,,,3130.5,0.06382,
3138.9,1.62501,,,3138.9,0.06455,
3147.2,1.62464,,,3147.2,0.06545,
3155.6,1.62423,,,3155.6,0.06628,
3163.9,1.62351,,,3163.9,0.06713,
3172.3,1.62278,,,3172.3,0.06814,
3180.6,1.62197,,,3180.6,0.06897,
3189,1.62075,,,3189,0.06989,
3197.3,1.61956,,,3197.3,0.07062,
3205.7,1.61828,,,3205.7,0.07106,
3214,1.61693,,,3214,0.07147,
3222.4,1.61575,,,3222.4,0.07179,
3230.7,1.61466,,,3230.7,0.07194,
3239.1,1.61336,,,3239.1,0.07229,
3247.4,1.61234,,,3247.4,0.07264,
3255.8,1.61104,,,3255.8,0.0729,
3264.1,1.60958,,,3264.1,0.07327,
3272.5,1.60817,,,3272.5,0.07355,
3280.8,1.60652,,,3280.8,0.07363,
3289.2,1.60487,,,3289.2,0.07361,
3297.5,1.60332,,,3297.5,0.07348,
3305.9,1.60182,,,3305.9,0.0733,
3314.2,1.60024,,,3314.2,0.07324,
3322.6,1.59862,,,3322.6,0.07337,
3330.9,1.59648,,,3330.9,0.07329,
3339.3,1.59398,,,3339.3,0.07309,
3347.6,1.59139,,,3347.6,0.07226,
3356,1.58865,,,3356,0.07095,
3364.3,1.58624,,,3364.3,0.06915,
3372.7,1.58408,,,3372.7,0.06681,
3381,1.58244,,,3381,0.06424,
3389.4,1.5814,,,3389.4,0.06165,
3397.7,1.58072,,,3397.7,0.05913,
3406.1,1.58024,,,3406.1,0.05663,
3414.4,1.58014,,,3414.4,0.05455,
3422.8,1.58009,,,3422.8,0.05255,
3431.1,1.58011,,,3431.1,0.05084,
3439.5,1.57993,,,3439.5,0.04908,
3447.8,1.57994,,,3447.8,0.04732,
3456.2,1.5799,,,3456.2,0.04559,
3464.6,1.58007,,,3464.6,0.04373,
3472.9,1.58006,,,3472.9,0.04189,
3481.3,1.58052,,,3481.3,0.03995,
3489.6,1.5811,,,3489.6,0.03806,
3497.9,1.58205,,,3497.9,0.03642,
3506.3,1.58298,,,3506.3,0.03477,
3514.7,1.58421,,,3514.7,0.03347,
3523,1.5854,,,3523,0.03256,
3531.3,1.58666,,,3531.3,0.03166,
3539.7,1.58748,,,3539.7,0.0312,
3548.1,1.58833,,,3548.1,0.03085,
3556.4,1.5891,,,3556.4,0.03019,
3564.8,1.58973,,,3564.8,0.02992,
3573.1,1.59031,,,3573.1,0.02939,
3581.5,1.59099,,,3581.5,0.02898,
3589.8,1.59128,,,3589.8,0.02856,
3598.2,1.5918,,,3598.2,0.02821,
3606.5,1.59222,,,3606.5,0.02769,
3614.9,1.59257,,,3614.9,0.02725,
3623.2,1.59298,,,3623.2,0.02674,
3631.6,1.59314,,,3631.6,0.02622,
3639.9,1.59369,,,3639.9,0.02553,
3648.3,1.59424,,,3648.3,0.02512,
3656.6,1.59473,,,3656.6,0.02432,
3665,1.59548,,,3665,0.02395,
3673.3,1.59614,,,3673.3,0.02343,
3681.7,1.59691,,,3681.7,0.02315,
3690,1.59736,,,3690,0.02298,
3698.4,1.59805,,,3698.4,0.02274,
3706.7,1.5986,,,3706.7,0.02252,
3715.1,1.59901,,,3715.1,0.02238,
3723.4,1.59964,,,3723.4,0.02227,
3731.8,1.60005,,,3731.8,0.02226,
3740.1,1.59998,,,3740.1,0.0221,
3748.5,1.60085,,,3748.5,0.02144,
3756.8,1.60133,,,3756.8,0.02161,
3765.2,1.60176,,,3765.2,0.02164,
3773.5,1.60204,,,3773.5,0.02141,
3781.9,1.60244,,,3781.9,0.02144,
3790.2,1.60279,,,3790.2,0.02133,
3798.6,1.60308,,,3798.6,0.02127,
3806.9,1.60342,,,3806.9,0.0211,
3815.3,1.60373,,,3815.3,0.02116,
3823.6,1.60405,,,3823.6,0.021,
3832,1.60443,,,3832,0.02093,
3840.3,1.6045,,,3840.3,0.02105,
3848.7,1.60489,,,3848.7,0.02097,
3857,1.60499,,,3857,0.02086,
3865.4,1.60514,,,3865.4,0.02074,
3873.7,1.6056,,,3873.7,0.02068,
3882.1,1.60575,,,3882.1,0.02065,
3890.4,1.60585,,,3890.4,0.02075,
3898.8,1.60612,,,3898.8,0.02057,
3907.1,1.6062,,,3907.1,0.02044,
3915.5,1.60649,,,3915.5,0.02041,
3923.8,1.60662,,,3923.8,0.02038,
3932.2,1.60674,,,3932.2,0.02025,
3940.5,1.60694,,,3940.5,0.02017,
3948.9,1.60713,,,3948.9,0.02008,
3957.3,1.60723,,,3957.3,0.01998,
3965.6,1.60749,,,3965.6,0.01991,
3973.9,1.60762,,,3973.9,0.0198,
3982.3,1.60772,,,3982.3,0.01975,
3990.7,1.60796,,,3990.7,0.01969,
3999,1.60807,,,3999,0.01951,
4007.3,1.6082,,,4007.3,0.0195,
4015.7,1.60839,,,4015.7,0.01946,
4024.1,1.60849,,,4024.1,0.01925,
4032.4,1.60862,,,4032.4,0.01923,
4040.8,1.60882,,,4040.8,0.01912,
4049.1,1.60886,,,4049.1,0.01897,
4057.5,1.6091,,,4057.5,0.01895,
4065.8,1.60923,,,4065.8,0.0188,
4074.2,1.60933,,,4074.2,0.0187,
4082.5,1.60952,,,4082.5,0.01864,
4090.9,1.6097,,,4090.9,0.01853,
4099.2,1.60979,,,4099.2,0.01844,
4107.6,1.60995,,,4107.6,0.0184,
4115.9,1.6101,,,4115.9,0.01822,
4124.3,1.61024,,,4124.3,0.01818,
4132.6,1.61043,,,4132.6,0.01811,
4141,1.61056,,,4141,0.018,
4149.3,1.61066,,,4149.3,0.01797,
4157.7,1.6109,,,4157.7,0.01787,
4166,1.611,,,4166,0.01781,
4174.4,1.61118,,,4174.4,0.01776,
4182.7,1.61134,,,4182.7,0.0177,
4191.1,1.61144,,,4191.1,0.01769,
4199.4,1.61156,,,4199.4,0.0176,
4207.8,1.61168,,,4207.8,0.01758,
4216.1,1.61183,,,4216.1,0.01747,
4224.5,1.612,,,4224.5,0.01751,
4232.8,1.6121,,,4232.8,0.01748,
4241.2,1.61216,,,4241.2,0.01739,
4249.5,1.61231,,,4249.5,0.01733,
4257.9,1.61239,,,4257.9,0.01735,
4266.2,1.61254,,,4266.2,0.01727,
4274.6,1.61261,,,4274.6,0.01723,
4282.9,1.61269,,,4282.9,0.0172,
4291.3,1.61279,,,4291.3,0.01718,
4299.6,1.61283,,,4299.6,0.01709,
4308,1.61296,,,4308,0.01708,
4316.3,1.61304,,,4316.3,0.017,
4324.7,1.61308,,,4324.7,0.01693,
4333,1.61327,,,4333,0.01695,
4341.4,1.61331,,,4341.4,0.0169,
4349.7,1.61332,,,4349.7,0.01686,
4358.1,1.6135,,,4358.1,0.0168,
4366.4,1.61352,,,4366.4,0.01671,
4374.8,1.61357,,,4374.8,0.01676,
4383.1,1.61366,,,4383.1,0.01664,
4391.5,1.61368,,,4391.5,0.01659,
4399.8,1.61377,,,4399.8,0.01658,
4408.2,1.61383,,,4408.2,0.01651,
4416.5,1.61386,,,4416.5,0.01641,
4424.9,1.61394,,,4424.9,0.01638,
4433.2,1.61401,,,4433.2,0.01624,
4441.6,1.61399,,,4441.6,0.01621,
4449.9,1.61418,,,4449.9,0.01616,
4458.3,1.61417,,,4458.3,0.01601,
4466.6,1.61427,,,4466.6,0.016,
4475,1.61441,,,4475,0.01592,
4483.4,1.61439,,,4483.4,0.01584,
